method,label,precision,recall,f1,support
embed:all-MiniLM-L6-v2,sci.crypt,0.7645429362880887,0.696969696969697,0.7291941875825627,396
embed:all-MiniLM-L6-v2,sci.electronics,0.5454545454545454,0.549618320610687,0.5475285171102662,393
embed:all-MiniLM-L6-v2,sci.med,0.7839195979899497,0.7878787878787878,0.7858942065491183,396
embed:all-MiniLM-L6-v2,sci.space,0.7146529562982005,0.7055837563451777,0.7100893997445722,394
embed:all-MiniLM-L6-v2,soc.religion.christian,0.6399082568807339,0.7010050251256281,0.6690647482014388,398
embed:all-MiniLM-L6-v2,talk.politics.guns,0.5535714285714286,0.5961538461538461,0.5740740740740741,364
embed:all-MiniLM-L6-v2,talk.politics.mideast,0.8155619596541787,0.7526595744680851,0.7828492392807745,376
embed:all-MiniLM-L6-v2,talk.politics.misc,0.48727272727272725,0.432258064516129,0.4581196581196581,310
embed:all-MiniLM-L6-v2,talk.religion.misc,0.29333333333333333,0.26294820717131473,0.2773109243697479,251
jev:jev-1.13,alt.atheism,0.6077586206896551,0.44200626959247646,0.5117967332123412,319
jev:jev-1.13,comp.graphics,0.7880434782608695,0.7455012853470437,0.7661822985468957,389
jev:jev-1.13,comp.os.ms-windows.misc,0.4488817891373802,0.7131979695431472,0.5509803921568628,394
jev:jev-1.13,comp.sys.ibm.pc.hardware,0.6709129511677282,0.8061224489795918,0.7323290845886443,392
jev:jev-1.13,comp.sys.mac.hardware,0.8798701298701299,0.7038961038961039,0.7821067821067821,385
jev:jev-1.13,comp.windows.x,0.8541114058355438,0.8151898734177215,0.8341968911917098,395
jev:jev-1.13,misc.forsale,0.7881548974943052,0.8871794871794871,0.8347406513872135,390
jev:jev-1.13,rec.autos,0.8170731707317073,0.8459595959595959,0.8312655086848635,396
jev:jev-1.13,rec.motorcycles,0.9745454545454545,0.6733668341708543,0.7964338781575037,398
jev:jev-1.13,rec.sport.baseball,0.948509485094851,0.8816120906801007,0.9138381201044387,397
jev:jev-1.13,rec.sport.hockey,0.9888579387186629,0.8897243107769424,0.9366754617414248,399
jev:jev-1.13,sci.crypt,0.8190184049079755,0.6742424242424242,0.739612188365651,396
jev:jev-1.13,sci.electronics,0.724233983286908,0.6615776081424937,0.6914893617021277,393
jev:jev-1.13,sci.med,0.8943089430894309,0.8333333333333334,0.8627450980392157,396
jev:jev-1.13,sci.space,0.926605504587156,0.7690355329949239,0.840499306518724,394
jev:jev-1.13,soc.religion.christian,0.8029925187032418,0.8090452261306532,0.8060075093867334,398
jev:jev-1.13,talk.politics.guns,0.6374045801526718,0.45879120879120877,0.5335463258785943,364
jev:jev-1.13,talk.politics.mideast,0.8833333333333333,0.5638297872340425,0.6883116883116883,376
jev:jev-1.13,talk.politics.misc,0.27487562189054726,0.7129032258064516,0.39676840215439857,310
jev:jev-1.13,talk.religion.misc,0.3142857142857143,0.26294820717131473,0.28633405639913234,251
hgb:lsa100,alt.atheism,0.34169278996865204,0.34169278996865204,0.34169278996865204,319
hgb:lsa100,comp.graphics,0.4617067833698031,0.5424164524421594,0.4988179669030733,389
hgb:lsa100,comp.os.ms-windows.misc,0.5855855855855856,0.4949238578680203,0.5364511691884457,394
hgb:lsa100,comp.sys.ibm.pc.hardware,0.5187165775401069,0.49489795918367346,0.5065274151436031,392
hgb:lsa100,comp.sys.mac.hardware,0.5178571428571429,0.45194805194805193,0.4826629680998613,385
hgb:lsa100,comp.windows.x,0.5921787709497207,0.5367088607594936,0.5630810092961488,395
hgb:lsa100,misc.forsale,0.7604938271604939,0.7897435897435897,0.7748427672955975,390
hgb:lsa100,rec.autos,0.4090056285178236,0.5505050505050505,0.46932185145317545,396
hgb:lsa100,rec.motorcycles,0.5023041474654378,0.5477386934673367,0.5240384615384616,398
hgb:lsa100,rec.sport.baseball,0.6718346253229974,0.654911838790932,0.6632653061224489,397
hgb:lsa100,rec.sport.hockey,0.8318840579710145,0.7192982456140351,0.771505376344086,399
hgb:lsa100,sci.crypt,0.779783393501805,0.5454545454545454,0.6419019316493314,396
hgb:lsa100,sci.electronics,0.33214285714285713,0.4732824427480916,0.39034627492130114,393
hgb:lsa100,sci.med,0.5194174757281553,0.5404040404040404,0.5297029702970297,396
hgb:lsa100,sci.space,0.6597633136094675,0.565989847715736,0.6092896174863388,394
hgb:lsa100,soc.religion.christian,0.5585215605749486,0.6834170854271356,0.6146892655367232,398
hgb:lsa100,talk.politics.guns,0.44755244755244755,0.5274725274725275,0.4842370744010088,364
hgb:lsa100,talk.politics.mideast,0.8073089700996677,0.6462765957446809,0.7178729689807977,376
hgb:lsa100,talk.politics.misc,0.2896341463414634,0.3064516129032258,0.29780564263322884,310
hgb:lsa100,talk.religion.misc,0.25210084033613445,0.11952191235059761,0.16216216216216217,251
